id,Total Microseconds,Minute,Seconds,Value
173,139292,0,0.139292,514.0
174,140124,0,0.140124,512.0
175,140960,0,0.14096,512.0
176,141792,0,0.141792,519.0
177,142624,0,0.142624,510.0
178,143460,0,0.14346,510.0
179,144292,0,0.144292,514.0
180,145124,0,0.145124,513.0
181,145960,0,0.14596,510.0
182,146792,0,0.146792,514.0
183,147628,0,0.147628,510.0
184,148460,0,0.14846,510.0
185,149292,0,0.149292,514.0
186,150128,0,0.150128,513.0
187,150960,0,0.15096,507.0
188,151792,0,0.151792,508.0
189,152628,0,0.152628,509.0
190,153460,0,0.15346,508.0
191,154292,0,0.154292,511.0
192,155128,0,0.155128,508.0
193,155960,0,0.15596,506.0
194,156792,0,0.156792,511.0
195,157628,0,0.157628,513.0
196,158460,0,0.15846,513.0
197,159292,0,0.159292,509.0
198,160128,0,0.160128,510.0
199,160960,0,0.16096,510.0
200,161792,0,0.161792,503.0
201,162628,0,0.162628,513.0
202,163460,0,0.16346,512.0
203,164292,0,0.164292,508.0
204,165128,0,0.165128,510.0
205,165960,0,0.16596,509.0
206,166792,0,0.166792,510.0
207,167628,0,0.167628,513.0
208,168460,0,0.16846,509.0
209,169292,0,0.169292,510.0
210,170128,0,0.170128,512.0
211,170960,0,0.17096,509.0
212,171796,0,0.171796,513.0
213,172628,0,0.172628,511.0
214,173460,0,0.17346,503.0
215,174296,0,0.174296,513.0
216,175128,0,0.175128,513.0
217,175960,0,0.17596,515.0
218,176796,0,0.176796,510.0
219,177628,0,0.177628,511.0
220,178460,0,0.17846,508.0
221,179296,0,0.179296,512.0
222,180128,0,0.180128,512.0
223,180960,0,0.18096,518.0
224,181796,0,0.181796,504.0
225,182628,0,0.182628,511.0
226,183460,0,0.18346,518.0
227,184296,0,0.184296,515.0
228,185128,0,0.185128,512.0
229,185960,0,0.18596,515.0
230,186796,0,0.186796,503.0
231,187628,0,0.187628,509.0
232,188460,0,0.18846,508.0
233,189296,0,0.189296,511.0
234,190128,0,0.190128,510.0
235,190960,0,0.19096,512.0
236,191796,0,0.191796,506.0
237,192628,0,0.192628,508.0
238,193460,0,0.19346,511.0
239,194296,0,0.194296,512.0
240,195128,0,0.195128,510.0
241,195960,0,0.19596,510.0
242,196796,0,0.196796,508.0
243,197628,0,0.197628,505.0
244,198460,0,0.19846,513.0
245,199296,0,0.199296,510.0
246,200128,0,0.200128,513.0
247,200964,0,0.200964,509.0
248,201796,0,0.201796,507.0
249,202628,0,0.202628,509.0
250,203464,0,0.203464,509.0
251,204296,0,0.204296,509.0
252,205128,0,0.205128,508.0
253,205964,0,0.205964,511.0
254,206796,0,0.206796,510.0
255,207628,0,0.207628,500.0
256,208464,0,0.208464,511.0
257,209296,0,0.209296,512.0
258,210128,0,0.210128,514.0
259,210964,0,0.210964,511.0
260,211796,0,0.211796,511.0
261,212628,0,0.212628,517.0
262,213464,0,0.213464,509.0
263,214296,0,0.214296,512.0
264,215128,0,0.215128,513.0
265,215964,0,0.215964,512.0
266,216796,0,0.216796,509.0
267,217628,0,0.217628,517.0
268,218464,0,0.218464,513.0
269,219296,0,0.219296,518.0
270,220128,0,0.220128,511.0
271,220964,0,0.220964,506.0
272,221796,0,0.221796,506.0
273,222628,0,0.222628,509.0
274,223464,0,0.223464,511.0
275,224296,0,0.224296,511.0
276,225128,0,0.225128,510.0
277,225964,0,0.225964,506.0
278,226796,0,0.226796,507.0
279,227632,0,0.227632,509.0
280,228464,0,0.228464,510.0
281,229296,0,0.229296,508.0
282,230132,0,0.230132,510.0
283,230964,0,0.230964,509.0
284,231796,0,0.231796,507.0
285,232632,0,0.232632,515.0
286,233464,0,0.233464,515.0
287,234296,0,0.234296,506.0
