id,Total Microseconds,Minute,Seconds,Value
60636,50527644,0,50.527645,490.0
60637,50528480,0,50.52848,508.0
60638,50529312,0,50.529312,516.0
60639,50530144,0,50.530144,519.0
60640,50530980,0,50.53098,512.0
60641,50531812,0,50.53181,501.0
60642,50532644,0,50.532642,519.0
60643,50533480,0,50.53348,513.0
60644,50534312,0,50.534313,523.0
60645,50535144,0,50.535145,517.0
60646,50535980,0,50.53598,497.0
60647,50536812,0,50.53681,507.0
60648,50537644,0,50.537643,504.0
60649,50538480,0,50.53848,510.0
60650,50539312,0,50.53931,504.0
60651,50540144,0,50.540146,498.0
60652,50540980,0,50.54098,508.0
60653,50541812,0,50.541813,508.0
60654,50542644,0,50.542645,516.0
60655,50543480,0,50.54348,513.0
60656,50544312,0,50.54431,509.0
60657,50545144,0,50.545143,516.0
60658,50545980,0,50.54598,519.0
60659,50546812,0,50.54681,513.0
60660,50547644,0,50.547646,514.0
60661,50548480,0,50.54848,517.0
60662,50549312,0,50.549313,513.0
60663,50550148,0,50.550148,509.0
60664,50550980,0,50.55098,509.0
60665,50551816,0,50.551815,503.0
60666,50552648,0,50.552647,503.0
60667,50553480,0,50.55348,510.0
60668,50554312,0,50.554314,506.0
60669,50555148,0,50.55515,510.0
60670,50555980,0,50.55598,507.0
60671,50556812,0,50.556812,509.0
60672,50557648,0,50.557648,507.0
60673,50558480,0,50.55848,491.0
60674,50559312,0,50.55931,510.0
60675,50560148,0,50.560146,509.0
60676,50560980,0,50.56098,513.0
60677,50561812,0,50.561813,515.0
60678,50562648,0,50.56265,493.0
60679,50563480,0,50.56348,513.0
60680,50564312,0,50.564312,516.0
60681,50565148,0,50.565147,518.0
60682,50565980,0,50.56598,508.0
60683,50566812,0,50.56681,491.0
60684,50567648,0,50.56765,512.0
60685,50568480,0,50.56848,511.0
60686,50569312,0,50.569313,514.0
60687,50570148,0,50.57015,504.0
60688,50570980,0,50.57098,509.0
60689,50571812,0,50.57181,513.0
60690,50572648,0,50.572647,512.0
60691,50573480,0,50.57348,509.0
60692,50574316,0,50.574314,507.0
60693,50575148,0,50.57515,504.0
60694,50575980,0,50.57598,512.0
60695,50576816,0,50.576817,511.0
60696,50577648,0,50.57765,508.0
60697,50578480,0,50.57848,510.0
60698,50579316,0,50.579315,523.0
60699,50580148,0,50.580147,517.0
60700,50580980,0,50.58098,500.0
60701,50581816,0,50.581818,507.0
60702,50582648,0,50.58265,509.0
60703,50583480,0,50.58348,511.0
60704,50584316,0,50.584316,508.0
60705,50585148,0,50.585148,490.0
60706,50585980,0,50.58598,507.0
60707,50586816,0,50.586815,515.0
60708,50587648,0,50.587646,513.0
60709,50588480,0,50.58848,514.0
60710,50589316,0,50.589317,502.0
60711,50590148,0,50.59015,515.0
60712,50590980,0,50.59098,504.0
60713,50591816,0,50.591816,510.0
60714,50592648,0,50.592648,507.0
60715,50593480,0,50.59348,509.0
60716,50594316,0,50.594315,508.0
60717,50595148,0,50.595146,506.0
60718,50595980,0,50.59598,516.0
60719,50596816,0,50.596817,508.0
60720,50597648,0,50.59765,505.0
60721,50598480,0,50.59848,512.0
60722,50599316,0,50.599316,510.0
60723,50600148,0,50.600147,504.0
60724,50600984,0,50.600983,510.0
60725,50601816,0,50.601814,514.0
60726,50602648,0,50.60265,520.0
60727,50603484,0,50.603485,513.0
60728,50604316,0,50.604317,513.0
60729,50605148,0,50.60515,511.0
60730,50605984,0,50.605984,512.0
60731,50606816,0,50.606815,508.0
60732,50607648,0,50.607647,503.0
60733,50608484,0,50.608482,507.0
60734,50609316,0,50.609318,506.0
60735,50610148,0,50.61015,513.0
60736,50610984,0,50.610985,506.0
60737,50611816,0,50.611816,499.0
60738,50612648,0,50.612648,505.0
60739,50613484,0,50.613483,516.0
60740,50614316,0,50.614315,516.0
60741,50615148,0,50.615147,512.0
60742,50615984,0,50.615986,497.0
60743,50616816,0,50.616817,512.0
60744,50617648,0,50.61765,514.0
60745,50618484,0,50.618484,510.0
60746,50619316,0,50.619316,506.0
60747,50620148,0,50.620148,500.0
60748,50620984,0,50.620983,511.0
60749,50621816,0,50.621815,508.0
60750,50622648,0,50.622646,524.0
60751,50623484,0,50.623486,510.0
60752,50624316,0,50.624317,502.0
60753,50625148,0,50.62515,509.0
60754,50625984,0,50.625984,512.0
60755,50626816,0,50.626816,520.0
60756,50627652,0,50.62765,510.0
60757,50628484,0,50.628483,504.0
60758,50629316,0,50.629314,505.0
60759,50630152,0,50.630154,503.0
60760,50630984,0,50.630985,502.0
60761,50631816,0,50.631817,509.0
60762,50632652,0,50.632652,516.0
60763,50633484,0,50.633484,508.0
60764,50634316,0,50.634315,499.0
60765,50635152,0,50.63515,511.0
60766,50635984,0,50.635983,513.0
60767,50636816,0,50.636814,512.0
60768,50637652,0,50.637653,515.0
60769,50638484,0,50.638485,504.0
60770,50639316,0,50.639317,518.0
60771,50640152,0,50.640152,514.0
60772,50640984,0,50.640984,522.0
60773,50641816,0,50.641815,523.0
60774,50642652,0,50.64265,496.0
60775,50643484,0,50.643482,513.0
60776,50644316,0,50.644318,510.0
60777,50645152,0,50.645153,505.0
60778,50645984,0,50.645985,511.0
60779,50646816,0,50.646816,502.0
60780,50647652,0,50.64765,511.0
60781,50648484,0,50.648483,508.0
60782,50649316,0,50.649315,507.0
60783,50650152,0,50.65015,508.0
60784,50650984,0,50.650986,504.0
60785,50651816,0,50.651817,517.0
60786,50652652,0,50.652653,509.0
60787,50653484,0,50.653484,516.0
60788,50654320,0,50.65432,515.0
60789,50655152,0,50.65515,514.0
60790,50655984,0,50.655983,519.0
60791,50656820,0,50.65682,519.0
60792,50657652,0,50.657654,517.0
60793,50658484,0,50.658485,510.0
60794,50659320,0,50.65932,513.0
60795,50660152,0,50.660152,510.0
60796,50660984,0,50.660984,491.0
60797,50661820,0,50.66182,509.0
60798,50662652,0,50.66265,509.0
60799,50663484,0,50.663483,519.0
60800,50664320,0,50.66432,511.0
60801,50665152,0,50.665154,492.0
60802,50665984,0,50.665985,509.0
60803,50666820,0,50.66682,513.0
60804,50667652,0,50.667652,519.0
60805,50668484,0,50.668484,512.0
60806,50669320,0,50.66932,502.0
60807,50670152,0,50.67015,514.0
60808,50670984,0,50.670982,512.0
60809,50671820,0,50.67182,524.0
60810,50672652,0,50.672653,512.0
60811,50673484,0,50.673485,501.0
60812,50674320,0,50.67432,508.0
60813,50675152,0,50.67515,511.0
60814,50675984,0,50.675983,517.0
60815,50676820,0,50.67682,513.0
60816,50677652,0,50.67765,513.0
60817,50678484,0,50.678486,508.0
60818,50679320,0,50.67932,510.0
60819,50680152,0,50.680153,518.0
60820,50680984,0,50.680984,509.0
60821,50681820,0,50.68182,507.0
60822,50682652,0,50.68265,515.0
60823,50683488,0,50.683487,514.0
60824,50684320,0,50.68432,513.0
60825,50685152,0,50.68515,508.0
60826,50685988,0,50.68599,511.0
60827,50686820,0,50.68682,513.0
60828,50687652,0,50.687653,494.0
60829,50688488,0,50.688488,509.0
60830,50689320,0,50.68932,510.0
60831,50690152,0,50.69015,516.0
60832,50690988,0,50.690987,506.0
60833,50691820,0,50.69182,493.0
60834,50692652,0,50.692654,511.0
60835,50693488,0,50.69349,514.0
60836,50694320,0,50.69432,527.0
60837,50695152,0,50.695152,512.0
60838,50695988,0,50.695988,501.0
60839,50696820,0,50.69682,512.0
60840,50697652,0,50.69765,511.0
60841,50698488,0,50.698486,518.0
60842,50699320,0,50.69932,516.0
60843,50700152,0,50.700153,502.0
60844,50700988,0,50.70099,510.0
60845,50701820,0,50.70182,513.0
60846,50702652,0,50.702652,513.0
60847,50703488,0,50.703487,505.0
60848,50704320,0,50.70432,499.0
60849,50705152,0,50.70515,507.0
60850,50705988,0,50.70599,508.0
60851,50706820,0,50.70682,528.0
60852,50707656,0,50.707657,509.0
60853,50708488,0,50.70849,507.0
60854,50709320,0,50.70932,511.0
60855,50710156,0,50.710155,519.0
60856,50710988,0,50.710987,517.0
60857,50711820,0,50.71182,509.0
60858,50712656,0,50.712654,517.0
60859,50713488,0,50.71349,516.0
60860,50714320,0,50.71432,496.0
60861,50715156,0,50.715157,516.0
60862,50715988,0,50.71599,509.0
60863,50716820,0,50.71682,511.0
60864,50717656,0,50.717655,509.0
60865,50718488,0,50.718487,488.0
60866,50719320,0,50.71932,507.0
60867,50720156,0,50.720158,509.0
60868,50720988,0,50.72099,510.0
60869,50721820,0,50.72182,508.0
60870,50722656,0,50.722656,499.0
60871,50723488,0,50.723488,510.0
60872,50724320,0,50.72432,511.0
60873,50725156,0,50.725155,515.0
60874,50725988,0,50.725986,517.0
60875,50726820,0,50.72682,502.0
60876,50727656,0,50.727657,509.0
60877,50728488,0,50.72849,515.0
