id,Total Microseconds,Minute,Seconds,Value
12634,10523980,0,10.52398,508
12635,10524812,0,10.524812,502
12636,10525644,0,10.525644,484
12637,10526480,0,10.52648,500
12638,10527312,0,10.527312,504
12639,10528144,0,10.528144,514
12640,10528980,0,10.52898,505
12641,10529812,0,10.529812,491
12642,10530644,0,10.530644,506
12643,10531480,0,10.53148,507
12644,10532312,0,10.532312,512
12645,10533144,0,10.533144,517
12646,10533980,0,10.53398,510
12647,10534812,0,10.534812,512
12648,10535644,0,10.535644,509
12649,10536480,0,10.53648,529
12650,10537312,0,10.537312,525
12651,10538144,0,10.538144,510
12652,10538980,0,10.53898,509
12653,10539812,0,10.539812,506
12654,10540644,0,10.540644,507
12655,10541480,0,10.54148,508
12656,10542312,0,10.542312,494
12657,10543144,0,10.543144,505
12658,10543980,0,10.54398,514
12659,10544812,0,10.544812,519
12660,10545648,0,10.545648,519
12661,10546480,0,10.54648,512
12662,10547312,0,10.547312,518
12663,10548148,0,10.548148,515
12664,10548980,0,10.54898,511
12665,10549812,0,10.549812,509
12666,10550648,0,10.550648,514
12667,10551480,0,10.55148,510
12668,10552312,0,10.552312,494
12669,10553148,0,10.553148,508
12670,10553980,0,10.55398,505
12671,10554812,0,10.554812,514
12672,10555648,0,10.555648,512
12673,10556480,0,10.55648,490
12674,10557312,0,10.557312,510
12675,10558148,0,10.558148,512
12676,10558980,0,10.55898,515
12677,10559812,0,10.559812,511
12678,10560648,0,10.560648,493
12679,10561480,0,10.56148,510
12680,10562312,0,10.562312,502
12681,10563148,0,10.563148,506
12682,10563980,0,10.56398,503
12683,10564812,0,10.564812,493
12684,10565648,0,10.565648,505
12685,10566480,0,10.56648,509
12686,10567312,0,10.567312,515
12687,10568148,0,10.568148,510
12688,10568980,0,10.56898,512
12689,10569812,0,10.569812,513
12690,10570648,0,10.570648,521
12691,10571480,0,10.57148,523
12692,10572316,0,10.572316,522
12693,10573148,0,10.573148,514
12694,10573980,0,10.57398,517
12695,10574816,0,10.574816,506
12696,10575648,0,10.575648,511
12697,10576480,0,10.57648,505
12698,10577316,0,10.577316,502
12699,10578148,0,10.578148,507
12700,10578980,0,10.57898,500
12701,10579816,0,10.579816,509
12702,10580648,0,10.580648,509
12703,10581480,0,10.58148,513
12704,10582316,0,10.582316,512
12705,10583148,0,10.583148,496
12706,10583980,0,10.58398,511
12707,10584816,0,10.584816,513
12708,10585648,0,10.585648,511
12709,10586480,0,10.58648,516
12710,10587316,0,10.587316,496
12711,10588148,0,10.588148,505
12712,10588980,0,10.58898,506
12713,10589816,0,10.589816,511
12714,10590648,0,10.590648,511
12715,10591480,0,10.59148,504
12716,10592316,0,10.592316,511
12717,10593148,0,10.593148,510
12718,10593980,0,10.59398,510
12719,10594816,0,10.594816,506
12720,10595648,0,10.595648,502
12721,10596480,0,10.59648,508
12722,10597316,0,10.597316,509
12723,10598148,0,10.598148,516
12724,10598980,0,10.59898,512
12725,10599816,0,10.599816,505
12726,10600648,0,10.600648,514
12727,10601484,0,10.601484,502
12728,10602316,0,10.602316,512
12729,10603148,0,10.603148,513
12730,10603984,0,10.603984,514
12731,10604816,0,10.604816,513
12732,10605648,0,10.605648,484
12733,10606484,0,10.606484,498
12734,10607316,0,10.607316,504
12735,10608148,0,10.608148,515
12736,10608984,0,10.608984,509
12737,10609816,0,10.609816,497
12738,10610648,0,10.610648,516
12739,10611484,0,10.611484,518
12740,10612316,0,10.612316,525
12741,10613148,0,10.613148,514
12742,10613984,0,10.613984,494
12743,10614816,0,10.614816,508
12744,10615648,0,10.615648,502
12745,10616484,0,10.616484,510
12746,10617316,0,10.617316,506
12747,10618148,0,10.618148,504
12748,10618984,0,10.618984,509
12749,10619816,0,10.619816,508
12750,10620648,0,10.620648,525
12751,10621484,0,10.621484,518
12752,10622316,0,10.622316,514
12753,10623148,0,10.623148,523
12754,10623984,0,10.623984,520
12755,10624816,0,10.624816,526
12756,10625648,0,10.625648,512
12757,10626484,0,10.626484,503
12758,10627316,0,10.627316,503
12759,10628152,0,10.628152,491
12760,10628984,0,10.628984,500
12761,10629816,0,10.629816,508
12762,10630652,0,10.630652,507
12763,10631484,0,10.631484,512
12764,10632316,0,10.632316,512
12765,10633152,0,10.633152,514
12766,10633984,0,10.633984,506
12767,10634816,0,10.634816,508
12768,10635652,0,10.635652,508
12769,10636484,0,10.636484,495
12770,10637320,0,10.63732,508
12771,10638152,0,10.638152,506
12772,10638984,0,10.638984,513
12773,10639816,0,10.639816,519
12774,10640652,0,10.640652,503
12775,10641484,0,10.641484,512
12776,10642316,0,10.642316,514
12777,10643152,0,10.643152,509
12778,10643984,0,10.643984,514
12779,10644816,0,10.644816,509
12780,10645652,0,10.645652,512
12781,10646484,0,10.646484,508
12782,10647316,0,10.647316,519
12783,10648152,0,10.648152,509
12784,10648984,0,10.648984,505
12785,10649816,0,10.649816,507
12786,10650652,0,10.650652,508
12787,10651484,0,10.651484,510
12788,10652316,0,10.652316,517
12789,10653152,0,10.653152,511
12790,10653984,0,10.653984,508
12791,10654820,0,10.65482,500
12792,10655652,0,10.655652,510
12793,10656484,0,10.656484,509
12794,10657320,0,10.65732,515
12795,10658152,0,10.658152,509
12796,10658984,0,10.658984,490
12797,10659820,0,10.65982,506
12798,10660652,0,10.660652,501
12799,10661484,0,10.661484,505
12800,10662320,0,10.66232,516
12801,10663152,0,10.663152,500
12802,10663984,0,10.663984,515
12803,10664820,0,10.66482,516
12804,10665652,0,10.665652,510
12805,10666484,0,10.666484,510
12806,10667320,0,10.66732,499
12807,10668152,0,10.668152,511
12808,10668984,0,10.668984,513
12809,10669820,0,10.66982,512
12810,10670652,0,10.670652,510
12811,10671484,0,10.671484,506
12812,10672320,0,10.67232,514
12813,10673152,0,10.673152,517
12814,10673984,0,10.673984,511
12815,10674820,0,10.67482,509
12816,10675652,0,10.675652,513
12817,10676484,0,10.676484,515
12818,10677320,0,10.67732,515
12819,10678152,0,10.678152,511
12820,10678984,0,10.678984,513
12821,10679820,0,10.67982,510
12822,10680652,0,10.680652,506
12823,10681488,0,10.681488,504
12824,10682320,0,10.68232,523
12825,10683152,0,10.683152,518
12826,10683988,0,10.683988,513
12827,10684820,0,10.68482,507
12828,10685652,0,10.685652,484
12829,10686488,0,10.686488,496
12830,10687320,0,10.68732,493
12831,10688152,0,10.688152,501
12832,10688988,0,10.688988,504
12833,10689820,0,10.68982,500
12834,10690652,0,10.690652,523
12835,10691488,0,10.691488,522
12836,10692320,0,10.69232,529
12837,10693152,0,10.693152,525
12838,10693988,0,10.693988,515
12839,10694820,0,10.69482,520
12840,10695652,0,10.695652,519
12841,10696488,0,10.696488,521
12842,10697320,0,10.69732,506
12843,10698152,0,10.698152,494
12844,10698988,0,10.698988,497
12845,10699820,0,10.69982,498
12846,10700652,0,10.700652,524
12847,10701488,0,10.701488,511
12848,10702320,0,10.70232,499
12849,10703152,0,10.703152,499
12850,10703988,0,10.703988,503
12851,10704820,0,10.70482,520
12852,10705652,0,10.705652,506
12853,10706488,0,10.706488,505
12854,10707320,0,10.70732,513
12855,10708156,0,10.708156,517
12856,10708988,0,10.708988,525
12857,10709820,0,10.70982,527
12858,10710656,0,10.710656,534
12859,10711488,0,10.711488,522
12860,10712320,0,10.71232,487
12861,10713156,0,10.713156,499
12862,10713988,0,10.713988,492
12863,10714820,0,10.71482,496
12864,10715656,0,10.715656,496
12865,10716488,0,10.716488,491
12866,10717320,0,10.71732,507
12867,10718156,0,10.718156,505
12868,10718988,0,10.718988,511
12869,10719820,0,10.71982,508
12870,10720656,0,10.720656,501
12871,10721488,0,10.721488,519
12872,10722320,0,10.72232,514
12873,10723156,0,10.723156,514
12874,10723988,0,10.723988,513
12875,10724820,0,10.72482,498
12876,10725656,0,10.725656,511
12877,10726488,0,10.726488,512
12878,10727320,0,10.72732,509
12879,10728156,0,10.728156,513
12880,10728988,0,10.728988,515
12881,10729820,0,10.72982,522
12882,10730656,0,10.730656,517
12883,10731488,0,10.731488,519
12884,10732320,0,10.73232,513
12885,10733156,0,10.733156,508
12886,10733988,0,10.733988,504
12887,10734824,0,10.734824,509
12888,10735656,0,10.735656,510
12889,10736488,0,10.736488,498
12890,10737324,0,10.737324,499
12891,10738156,0,10.738156,496
12892,10738988,0,10.738988,486
12893,10739824,0,10.739824,507
12894,10740656,0,10.740656,510
12895,10741488,0,10.741488,522
12896,10742324,0,10.742324,533
12897,10743156,0,10.743156,510
12898,10743988,0,10.743988,517
12899,10744824,0,10.744824,512
12900,10745656,0,10.745656,513
12901,10746488,0,10.746488,511
12902,10747324,0,10.747324,489
12903,10748156,0,10.748156,501
12904,10748988,0,10.748988,502
12905,10749824,0,10.749824,513
12906,10750656,0,10.750656,505
12907,10751488,0,10.751488,497
12908,10752324,0,10.752324,507
12909,10753156,0,10.753156,511
12910,10753988,0,10.753988,516
12911,10754824,0,10.754824,518
12912,10755656,0,10.755656,518
12913,10756488,0,10.756488,519
12914,10757324,0,10.757324,517
12915,10758156,0,10.758156,525
12916,10758992,0,10.758992,515
12917,10759824,0,10.759824,510
12918,10760656,0,10.760656,514
12919,10761492,0,10.761492,500
12920,10762324,0,10.762324,508
12921,10763156,0,10.763156,504
12922,10763992,0,10.763992,497
12923,10764824,0,10.764824,488
12924,10765656,0,10.765656,478
12925,10766492,0,10.766492,503
12926,10767324,0,10.767324,510
12927,10768156,0,10.768156,515
12928,10768992,0,10.768992,515
12929,10769824,0,10.769824,500
12930,10770656,0,10.770656,515
12931,10771492,0,10.771492,518
12932,10772324,0,10.772324,526
12933,10773156,0,10.773156,517
12934,10773992,0,10.773992,501
12935,10774824,0,10.774824,510
12936,10775656,0,10.775656,511
12937,10776492,0,10.776492,509
12938,10777324,0,10.777324,512
12939,10778156,0,10.778156,501
12940,10778992,0,10.778992,506
12941,10779824,0,10.779824,510
12942,10780656,0,10.780656,506
12943,10781492,0,10.781492,512
12944,10782324,0,10.782324,509
12945,10783156,0,10.783156,516
12946,10783992,0,10.783992,516
12947,10784824,0,10.784824,524
12948,10785656,0,10.785656,506
12949,10786492,0,10.786492,495
12950,10787324,0,10.787324,498
12951,10788160,0,10.78816,499
12952,10788992,0,10.788992,501
12953,10789824,0,10.789824,502
12954,10790660,0,10.79066,502
12955,10791492,0,10.791492,511
12956,10792324,0,10.792324,505
12957,10793160,0,10.79316,515
12958,10793992,0,10.793992,512
12959,10794824,0,10.794824,518
12960,10795660,0,10.79566,521
12961,10796492,0,10.796492,497
12962,10797324,0,10.797324,517
12963,10798160,0,10.79816,516
12964,10798992,0,10.798992,523
12965,10799824,0,10.799824,507
12966,10800660,0,10.80066,497
12967,10801492,0,10.801492,509
12968,10802324,0,10.802324,502
12969,10803160,0,10.80316,514
12970,10803992,0,10.803992,502
12971,10804824,0,10.804824,500
12972,10805660,0,10.80566,508
12973,10806492,0,10.806492,502
12974,10807324,0,10.807324,519
12975,10808160,0,10.80816,520
12976,10808992,0,10.808992,512
12977,10809824,0,10.809824,509
12978,10810660,0,10.81066,502
12979,10811492,0,10.811492,513
12980,10812328,0,10.812328,521
12981,10813160,0,10.81316,515
12982,10813992,0,10.813992,511
12983,10814828,0,10.814828,500
12984,10815660,0,10.81566,512
12985,10816492,0,10.816492,510
12986,10817328,0,10.817328,507
12987,10818160,0,10.81816,498
12988,10818992,0,10.818992,485
12989,10819828,0,10.819828,515
12990,10820660,0,10.82066,515
12991,10821492,0,10.821492,508
12992,10822328,0,10.822328,510
12993,10823160,0,10.82316,498
12994,10823992,0,10.823992,522
12995,10824828,0,10.824828,508
12996,10825660,0,10.82566,513
12997,10826492,0,10.826492,507
12998,10827328,0,10.827328,495
12999,10828160,0,10.82816,507
13000,10828992,0,10.828992,506
13001,10829832,0,10.829832,510
13002,10830660,0,10.83066,509
13003,10831492,0,10.831492,492
13004,10832328,0,10.832328,511
13005,10833160,0,10.83316,511
13006,10833992,0,10.833992,511
13007,10834828,0,10.834828,513
13008,10835660,0,10.83566,503
13009,10836492,0,10.836492,510
13010,10837328,0,10.837328,515
13011,10838160,0,10.83816,518
13012,10838992,0,10.838992,516
13013,10839828,0,10.839828,523
13014,10840660,0,10.84066,521
13015,10841496,0,10.841496,511
13016,10842328,0,10.842328,503
13017,10843160,0,10.84316,497
13018,10843996,0,10.843996,503
13019,10844828,0,10.844828,503
13020,10845660,0,10.84566,493
13021,10846496,0,10.846496,518
13022,10847328,0,10.847328,513
13023,10848160,0,10.84816,517
13024,10848996,0,10.848996,515
13025,10849828,0,10.849828,489
13026,10850660,0,10.85066,508
13027,10851496,0,10.851496,512
13028,10852328,0,10.852328,515
13029,10853160,0,10.85316,508
13030,10853996,0,10.853996,502
13031,10854828,0,10.854828,513
13032,10855660,0,10.85566,516
13033,10856496,0,10.856496,520
13034,10857328,0,10.857328,511
13035,10858160,0,10.85816,508
13036,10858996,0,10.858996,510
13037,10859828,0,10.859828,512
13038,10860660,0,10.86066,521
13039,10861496,0,10.861496,515
13040,10862328,0,10.862328,501
13041,10863160,0,10.86316,502
13042,10863996,0,10.863996,497
13043,10864828,0,10.864828,506
13044,10865660,0,10.86566,509
13045,10866496,0,10.866496,506
13046,10867328,0,10.867328,512
13047,10868164,0,10.868164,509
13048,10868996,0,10.868996,512
13049,10869828,0,10.869828,511
13050,10870664,0,10.870664,514
13051,10871496,0,10.871496,513
13052,10872328,0,10.872328,492
13053,10873164,0,10.873164,512
13054,10873996,0,10.873996,515
13055,10874828,0,10.874828,521
13056,10875664,0,10.875664,513
13057,10876496,0,10.876496,493
13058,10877328,0,10.877328,509
13059,10878164,0,10.878164,507
13060,10878996,0,10.878996,517
13061,10879828,0,10.879828,513
13062,10880664,0,10.880664,496
13063,10881496,0,10.881496,511
13064,10882328,0,10.882328,506
13065,10883164,0,10.883164,523
13066,10883996,0,10.883996,517
13067,10884828,0,10.884828,504
13068,10885664,0,10.885664,509
13069,10886496,0,10.886496,501
13070,10887328,0,10.887328,502
13071,10888164,0,10.888164,501
13072,10888996,0,10.888996,496
13073,10889828,0,10.889828,515
13074,10890664,0,10.890664,512
13075,10891496,0,10.891496,512
13076,10892328,0,10.892328,508
13077,10893164,0,10.893164,509
13078,10893996,0,10.893996,511
13079,10894832,0,10.894832,507
13080,10895664,0,10.895664,510
13081,10896496,0,10.896496,514
13082,10897332,0,10.897332,517
13083,10898164,0,10.898164,515
13084,10898996,0,10.898996,497
13085,10899832,0,10.899832,510
13086,10900664,0,10.900664,507
13087,10901496,0,10.901496,517
13088,10902332,0,10.902332,508
13089,10903164,0,10.903164,495
13090,10903996,0,10.903996,514
13091,10904832,0,10.904832,512
13092,10905664,0,10.905664,516
13093,10906496,0,10.906496,513
13094,10907332,0,10.907332,507
13095,10908164,0,10.908164,513
13096,10908996,0,10.908996,512
13097,10909832,0,10.909832,519
13098,10910664,0,10.910664,508
13099,10911496,0,10.911496,497
13100,10912332,0,10.912332,516
13101,10913164,0,10.913164,513
13102,10913996,0,10.913996,506
13103,10914832,0,10.914832,510
13104,10915664,0,10.915664,503
13105,10916496,0,10.916496,505
13106,10917332,0,10.917332,506
13107,10918164,0,10.918164,508
13108,10918996,0,10.918996,513
13109,10919832,0,10.919832,507
